title,tag
BANKSapi GmbH,FinTech | InsurTech | LegalTech | RegTech
BANKSapi GmbH,IT/Technologie
BANKSapi GmbH,SaaS
Babo Beverages UG (haftungsbeschränkt),Food
Babo Beverages UG (haftungsbeschränkt),Getränke
audEERING GmbH,Artificial Intelligence
audEERING GmbH,IoT
audEERING GmbH,IT/Technologie
audEERING GmbH,Life Science
audEERING GmbH,Robotics
B42,Sport
B42,Training
Azena,IoT
Azena,IT/Technologie
AZUBIYO GmbH,Education
AZUBIYO GmbH,IT/Technologie
AZUBIYO GmbH,SaaS
Avantpark,Mobility
Avantpark,Parking
Avantpark,Smart City
azuma healthtech GmbH,Cloud
azuma healthtech GmbH,eHealth
azuma healthtech GmbH,IT/Technologie
azuma healthtech GmbH,Life Science
azuma healthtech GmbH,SaaS
authorized.by GmbH,IT/Technologie
authorized.by GmbH,SaaS
AVANTGARDRESS,(e)Commerce
AVANTGARDRESS,Fashion
AVANTGARDRESS,Online Shopping
bao solutions,IT/Technologie
bao solutions,SaaS
"Bayerisches Staatsministerium für Wirtschaft, Landesentwicklung und Energie",
BayStartUP,
BayBG Bayerische Beteiligungsgesellschaft mbH,Investor
baybies GmbH,(e)Commerce
BAVERTIS GmbH,eMobility
BAVERTIS GmbH,Mobility
BAVERTIS GmbH,Smart Mobility
Bayerische Telemedallianz UG ( haftungsbeschränkt ),
BatchOne GmbH,Accelerator/Incubator
BASE Co-Working,Services
beatvest,FinTech
beatvest,FinTech | InsurTech | LegalTech | RegTech
baristina,Food
baristina,FoodTech
baristina,Getränke
BARRIO,Lifestyle
Bilendo GmbH,Banking
Bilendo GmbH,FinTech
Bilendo GmbH,FinTech | InsurTech | LegalTech | RegTech
Bilendo GmbH,IT/Technologie
Bilendo GmbH,SaaS
BetterTaxi (BetterTec GmbH),Mobility
BetterTaxi (BetterTec GmbH),Smart City
BetterTaxi (BetterTec GmbH),Smart Mobility
Berg & Macher GmbH,Services
bikesale.de,(e)Commerce
bikesale.de,Online Shopping
beautybears GmbH,Food
beautybears GmbH,FoodTech
Beyond.Host GmbH,Services
Beducated GmbH,Education
Beducated GmbH,eLearning
Beducated GmbH,Lifestyle
Beewedded GmbH,(e)Commerce
Beewedded GmbH,B2C
Beewedded GmbH,Lifestyle
Beewedded GmbH,Online Shopping
Bind-X GmbH,BioTech
Bind-X GmbH,Life Science
Beta2Shape,3D-Technology
Beta2Shape,IT/Technologie
Beta2Shape,Services
BioDataAnalysis GmbH,BioTech
BioDataAnalysis GmbH,Life Science
Best Foodies,Food
Best Foodies,Lebensmittel
Berryfy,Blockchain
Berryfy,IT/Technologie
BIOspire,BioTech
BIOspire,Life Science
BIOspire,MedTech
Bernstein Technologies GmbH,Banking
Bernstein Technologies GmbH,Blockchain
Bernstein Technologies GmbH,FinTech
Bernstein Technologies GmbH,FinTech | InsurTech | LegalTech | RegTech
Bernstein Technologies GmbH,IT/Technologie
Bleenco,Artificial Intelligence
BioM Biotech Cluster Development GmbH,Accelerator/Incubator
bliro,Artificial Intelligence
bliro,IT/Technologie
bliro,SaaS
BlindMate,Community
BlindMate,Dating
BlindMate,Lifestyle
Blackwave GmbH,Industry
Blackwave GmbH,IT/Technologie
Blabigo,Artificial Intelligence
Blabigo,IT/Technologie
Blabigo,SaaS
Black Tea Motorbikes,Automotive
Black Tea Motorbikes,Bike
Black Tea Motorbikes,Mobility
Boost Internet GmbH,IT/Technologie
Boost Internet GmbH,SaaS
Blickfeld,3D-Technology
Blickfeld,Automotive
Blickfeld,Industry
Blickfeld,IoT
Blickfeld,IT/Technologie
Blickfeld,Mobility
Blickfeld,Robotics
Blickfeld,Smart City
Blickfeld,Smart Mobility
BonVenture Management GmbH,Investor
BiTHOUSE Wayra,Accelerator/Incubator
BiTHOUSE Wayra,Fashion
BiTHOUSE Wayra,FinTech | InsurTech | LegalTech | RegTech
BiTHOUSE Wayra,Food
BiTHOUSE Wayra,IT/Technologie
BiTHOUSE Wayra,Life Science
BiTHOUSE Wayra,Lifestyle
BiTHOUSE Wayra,Marketing
BiTHOUSE Wayra,Mobility
BiTHOUSE Wayra,Social Entrepreneurship
